$K_1$ (km/s),$\gamma_{TO95}$ (km/s),$\gamma_{FEROS}$ (km/s),$\gamma_{FEROS2}$ (km/s),$\gamma_{ELODIE}$ (km/s),$\gamma_{CTIO}$ (km/s),$\gamma_{Mercator}$ (km/s),$\gamma_{HARPS}$ (km/s),$\gamma_{NIRPS}$ (km/s)
6.58104664235772,12.770742237499423,13.991846553234197,12.554737510576551,12.262471270658427,11.94808610227148,12.7180009384446,11.723207546291919,11.057063586989305
6.736843816274734,12.88488444393959,14.309743662860763,10.577342970389092,12.454058012130893,11.853640092646407,12.798036771634251,11.793522383453432,12.217832980850808
6.82798376642865,12.873652240992747,14.239789741305245,9.830129322432928,12.441942365271784,11.844733637637932,12.75372954316843,11.8273897619394,12.454121951851734
6.94598790542568,12.879754026419423,14.10532051353395,10.675104797073923,11.992027121404135,11.71231373354175,12.842320887589116,10.311997256773992,11.097622825698291
6.583306771651457,12.684963985814575,14.490156992465073,11.447021764823583,12.76998674477107,11.943649973293478,12.733901666311235,11.57354787511384,11.405538490394244
6.850816389765685,12.805356501140576,14.693714647469116,12.955315396898,12.8066769518757,11.755678076033085,12.922865423597734,11.930868839982894,11.823142509817153
6.952497171309114,12.819076349316738,14.779730734832413,11.719586457645581,12.497440377148264,11.90586802792971,12.874957292091983,11.305526495088719,11.200907375805263
6.626039299834146,12.761315261777263,13.753318603933346,10.935168195151814,12.237797865900937,11.785584805860791,12.856499833908213,12.510092724357543,12.068583889255143
6.624572417981716,12.766659699442046,13.670200096623528,12.06406829800139,12.292875139869846,11.746346838667725,12.863830007212274,12.68019005354663,12.200022964637922
6.766080767940706,12.74738074712969,14.454017143644677,12.646396492535537,12.167774919402556,12.060511944341343,13.170879015904557,11.37718130023211,11.016504928082544
6.904090306782356,12.755346978492854,14.675718752429239,12.604877338663352,11.634773050211876,11.724773137215134,13.364503460184922,11.756030903378283,11.906650820940225
6.85166406022038,12.790316405644868,13.793369618096607,12.540462563035035,12.220834662249679,12.169490356762445,13.230266201202461,11.074495864239779,10.5617962598295
6.656075902204178,12.812900700717247,14.814715865997687,12.013437012609916,11.686141973987029,11.467301214095635,12.788892254151081,11.83119976648931,11.822319325675053
7.079396608645623,12.845569436345931,14.202253042062136,12.314325893937951,11.866382251108956,12.128445432339227,12.904397466744392,11.795583102491806,11.561635941072712
6.8899739717272315,12.862775183290722,14.101242517029036,11.654575594497185,12.308874144406909,11.890935683822958,12.712392042155388,11.482284374545657,10.626965787209667
6.659333012193624,12.830926826977409,14.038412474945861,11.259523085343472,12.103938653664201,11.79880870700006,12.83974824651967,12.033454405586367,12.92905484601878
6.8802142250846074,12.855364719622804,14.63695118089671,14.619894517147456,11.520582407379361,11.883750934189564,12.91955698219982,10.306246743055334,11.108695347858463
