$\Omega$ (deg),$\omega$ (deg),$a$ (mas),$i$ (deg),$P$ (days),$f$,$T_\mathrm{p}$ (MJD),$e$
344.31243283770897,104.73231341653019,22.079291523429642,65.3999222700971,314.8783819438743,0.5062307608367944,48708.83102353336,0.7828618070463241
343.9616235281927,104.75459057967643,22.135742873797927,65.60680511121717,314.8784316289667,0.7808301228675872,48708.56000211695,0.7836071947319533
344.0736764667295,104.64950357269919,22.197856458006505,65.66657950487408,314.878319768438,0.7131045758739167,48708.50095674768,0.78484773269613
344.2738643245665,104.6008900691513,22.19444907108051,65.60117684802185,314.87842745368795,0.7934245234876125,48708.64900322957,0.784523694761945
344.1060010936518,104.78010213278685,22.065149350717927,65.42696148797165,314.878488163873,0.8405391097868851,48708.654712121,0.7818272367188814
344.53799824565874,104.25807064668135,22.462019341424295,66.01956841195754,314.8784127366908,0.5583519127853043,48708.61121565709,0.7913359815444092
344.60352696109373,104.24657418615452,22.494076867699448,66.07238179401917,314.87871200654314,0.5358648173087515,48708.743161020335,0.7921361199436798
344.3217849611935,104.70224690140425,22.07977121349707,65.40079952243805,314.8782015425456,0.6334405736642315,48708.78551834915,0.7826917577534528
344.44359727808774,104.63111721385589,22.123068374114823,65.44267918654792,314.87823153347915,0.6397956691957039,48708.88199425256,0.7835581483103026
344.3817848119773,104.64784491013441,22.15498727063354,65.54495737423211,314.8786242872629,0.6438059320388645,48708.8479378405,0.7852930536700342
344.2009290724152,104.79204499451346,22.087289080919252,65.47831820466126,314.8785651193682,0.643913294859281,48708.987641202286,0.7827955665734931
344.64934658315536,104.35412570254442,22.358759580185357,65.79537383613207,314.87855840201235,0.6532708543819706,48708.9484358835,0.7886941741094603
343.8957757538131,104.96980323874338,21.947394737873218,65.27325026672851,314.8784848672698,0.5190246764543236,48708.59486483736,0.7788580969854182
344.1427805945161,104.97717135292277,21.929978176872947,65.21718254908012,314.878833695567,0.5150978772352607,48709.041798497085,0.7800419831866743
343.84137461280056,105.05232518179965,21.903575113489985,65.24278904599392,314.8781617285463,0.6027093749209604,48708.6695463974,0.7794913325759815
343.8448158201327,105.15801484515849,21.81593732522866,65.12152149339238,314.87829231503355,0.5624460239335117,48708.8724370487,0.7781285101468969
343.86906296533033,104.98016371517107,21.96988205958588,65.34821637130705,314.8783354902099,0.5920408140354083,48708.66321540158,0.7801224684704207
343.99207857423136,104.89931677740647,21.97908686368538,65.29648280909501,314.87855252863886,0.4669358517440844,48708.546020572074,0.7795652835539483
344.2662375516886,104.6795888685537,22.170576399061748,65.6209860057703,314.8783233090586,0.48065684576125145,48708.84058875311,0.7856277939353524
344.4542136226671,104.50754753341877,22.28382397693878,65.76371962502611,314.87833799238564,0.507000172950204,48708.88889415655,0.7880421430882087
343.63232741790483,105.20859219189579,21.81724323099764,65.10444931747075,314.8787304354381,0.6531613462342887,48708.53779322654,0.7757778608259235
343.75912856774227,105.19958911174716,21.811909294005535,65.08128373113776,314.8783066462069,0.5876083193298877,48708.78127456969,0.7761192074069627
343.9483479610466,104.9080578965203,22.05414167613455,65.50708183457304,314.87859521917744,0.6234913395728017,48708.82782188896,0.7831833353414768
344.88078606874757,104.12304487709623,22.5208448937907,66.01864258306158,314.87852075018566,0.5720569186594012,48708.848374356516,0.7933079055419807
344.1873312070853,104.48868190613312,22.325934316648365,65.82090418369634,314.8783973930584,0.5751363885749506,48708.42259969516,0.786222806375863
343.7314380247736,104.78556103041328,22.13931329119827,65.64867211826639,314.87832527736686,0.4967074006920269,48708.13027868699,0.7828552464379783
344.6406898644531,104.58888041659158,22.168821738517035,65.51177236389088,314.8784655802962,0.8595443293522359,48709.250539126806,0.7858515607782444
343.9729616933862,104.4987334032126,22.330951682494874,65.88818284885322,314.87839546563885,0.4565878501139487,48708.033315612,0.7863302472308009
344.72829931282365,104.49273702773456,22.249559466020305,65.62985506480501,314.87846831854944,0.8902093689505193,48709.266356593,0.788013113386887
343.8237835278758,104.74294887363752,22.12809380444259,65.60615207228395,314.87861260544895,0.48819501629467366,48708.10697155073,0.7828604250933346
344.58409418455153,104.59543179554635,22.18755635314028,65.54834715774943,314.87837709930767,0.7233644983980754,48709.19568744395,0.7857294191239541
344.48897903647605,104.65869878146538,22.143674260108025,65.4913680799066,314.87829921166616,0.6490218402430952,48709.16754997894,0.7844828478957342
344.44038223012046,104.62011911271908,22.167171801190044,65.54620717649063,314.8782843697526,0.5597876454581681,48708.96437342325,0.7847341405514938
344.5715017473147,104.48190727812313,22.271301078590728,65.68993252507454,314.8782304333685,0.6712438939878542,48708.94543000171,0.7877277791305264
343.7275730442488,105.14869026237544,21.87215964970217,65.22224803589887,314.8786208649982,0.63707829050439,48708.76623729896,0.7780104113598408
344.07084917800813,104.83960449233685,22.078354208117773,65.4950570773806,314.8786336596782,0.6436304256571187,48708.80789226154,0.7830626519453225
343.9550474432393,105.09194170941053,21.858279357849113,65.1229228615168,314.87875055845353,0.6555272023541109,48708.96550909709,0.7785557243210743
344.10108855451955,104.84711140610764,22.0390712301782,65.40946251584597,314.87835656041574,0.664060835648618,48708.80699413642,0.7824657785718457
343.7997043305018,104.9877681536139,21.959439234777676,65.33963314197047,314.8785502750496,0.6381871059365419,48708.55903383577,0.7793001914455352
344.34803645893044,104.57136870335327,22.22461759109175,65.63367703320536,314.87842428842873,0.7667992641523274,48708.782905858476,0.7855251019848648
344.3031467767188,104.61008115828558,22.201000079913186,65.60288616347098,314.87835918453874,0.8049488875060464,48708.80666222889,0.7849312965878164
344.36849869434263,104.55086587208407,22.25112427698718,65.65975556345133,314.8783368547804,0.514378473127354,48708.768695258535,0.7862666215415661
344.34475218301867,104.41107125402142,22.353790053768318,65.87276253327092,314.87837359538815,0.549764653731346,48708.57388052344,0.7885528891235816
343.52252951741457,105.47119010737293,21.62372840774293,64.85738322408976,314.8786152075958,0.5991527829147858,48708.823311971035,0.7729685259822576
344.2268456041187,104.78269642515728,22.095954742651106,65.49835183958318,314.87852977457055,0.6762798394888352,48708.93021524185,0.7839385004315482
343.7587646613627,105.06869376437831,21.87697227664225,65.20036953103934,314.87833734624013,0.7032587513436983,48708.58342165314,0.7774310505922271
343.8531898556476,104.98290137638584,21.96336015980364,65.34614619779974,314.87822708054125,0.6412949828939896,48708.55923970975,0.7803811119045025
343.5347870950343,105.51517808491462,21.606678348170313,64.81072109712865,314.87861750747146,0.5712580978314082,48708.9544099397,0.772312381389908
