K1 [km/s],K2 [km/s],$\gamma_{AB}$ [km/s],$\pi$ [mas],$MA$ [$M_{\odot}$],$MB$ [$M_{\odot}$]
4.0843329780787965,3.5350528466918942,9.057566634151438,21.795462618461308,1.2150972530402673,1.4039003085369914
3.7439761597952583,4.015475835912683,9.223454191017689,21.563272988242826,1.381154969700018,1.2877704886908585
4.242085778525946,3.438011524412584,8.925617648271736,21.780684948755592,1.1493467662869787,1.4181533532508512
4.417799275622912,3.269149376090545,8.722542907780333,21.75524573449095,1.0996864385859766,1.486072795366482
3.929761776666853,3.7523423377920255,8.980088855529974,21.745996628697284,1.2683815623984038,1.3283535811594422
3.8913223918885014,3.690929213301617,9.200283956488622,21.88500506206028,1.2497625104612657,1.3176163942603618
3.8009647554393484,3.837716229389286,9.104853111680928,21.823688398795305,1.3025926246929218,1.2901184874580798
3.280439724797192,4.250331199279053,9.538050492049122,22.07170536431652,1.419501864252798,1.0955829290923038
3.6066899544005264,3.935575231631284,9.373215390371406,22.107725103323247,1.308065477254955,1.198754016590878
3.826681328189431,3.809329576551062,9.169696094617565,21.84678953008221,1.2894333920835057,1.295306847641507
3.641961626955347,4.0739038691989515,9.43332024537558,21.536297732588963,1.4284861668411006,1.277028612188334
4.052227830643853,3.5212301586415915,8.972819724694748,21.952504501453873,1.1812574405522387,1.3593897757616373
3.546966371817769,4.098572608640294,9.348230921463983,21.80691778084125,1.3916261804811871,1.20433422453031
3.8700754565650057,3.689670508611067,9.092181318439874,21.998707852131012,1.2324097294749647,1.292667904990901
3.7261369148894223,3.7240770945874364,9.13593603730998,22.293056951689096,1.213299125114035,1.2139702116965132
3.6692658732843,3.808328744047316,9.167441329268227,22.05499329569923,1.296809138830406,1.2494555583498994
3.897199213830196,3.676515232690486,9.103796023635887,22.115236336439516,1.2207136775910499,1.2939873993499411
3.794238615272208,3.8176653106830467,9.2161939091181,21.63789310679752,1.3319317711802798,1.3237585141312285
3.6519711769378214,3.9793531985381767,9.372604886860609,21.718042660029738,1.3952276683771367,1.2804420658239746
3.730293518333755,3.9690421564443947,9.368592733069175,21.54253121293352,1.4047036037689205,1.320206876566261
4.276509061297508,3.27384539570878,8.832897937651436,22.16209160328905,1.0613933679196879,1.3864608149973219
4.177702560900994,3.4755999002493936,8.868524970480099,21.827972162343983,1.1665078310440897,1.4021529787459914
3.922930266401968,3.6964033645747745,9.200895561490967,21.799698837380035,1.2619713141541564,1.3393087754090154
4.152653676646763,3.382420212289204,8.898539181377227,21.95159513245229,1.1583286043265444,1.422099335867634
3.9200110281570884,3.700111523088339,9.174960847175658,21.799754167889688,1.267445170104591,1.3427700796022237
3.630961737630397,3.8636901185298993,9.246191909199716,22.0376823401067,1.30629807848916,1.2276135495925757
4.13397203708259,3.9003528889152888,9.097766693924157,20.902606378335307,1.4120883073416595,1.4966680561217525
4.056140410611728,3.7882844296546017,9.137594915650524,21.262660406925644,1.365632460950796,1.4621914256345068
3.998333373162509,3.884316360112635,9.139800962239377,21.34868562260121,1.3369032645607748,1.376145618383218
3.8125360768520995,3.720425755792936,9.242307659808173,22.08559171174109,1.2263792874970447,1.2567419925545968
4.114488589527347,3.6929185160789597,8.964635221377806,21.437667112402433,1.2890700449127817,1.436225567339797
4.048573140472893,3.3007444581399343,8.865973780109748,22.41886166756023,1.0812046533539696,1.326166316246712
3.861684311729013,4.191576722272712,9.402699541404756,20.945944247400632,1.498273084023884,1.3803535153052695
3.997637205770144,3.7609714998142216,9.008096140007464,21.569239015526705,1.280392717019461,1.3609636669161034
3.7401036708965734,3.8267754624158212,9.226642166167636,21.95448925327559,1.2875059201817616,1.2583454832055758
