JD,year,x_lo,x_med,x_hi,y_lo,y_med,y_hi
2461730.5563909775,2027.8884067253823,0.024236287764864882,0.02477383841789912,0.0253183690998482,0.031140611745150606,0.032261066298103144,0.03339451627616447
2462005.1804511277,2028.6403024840508,0.021445170545498625,0.022038965179322828,0.022643641189063347,-0.005598862345943406,-0.004284402421655463,-0.002959861814944403
2462279.8045112784,2029.3921982427207,0.018605601702284535,0.01925697747498648,0.019926135083266013,-0.04232152780387567,-0.04082143022304344,-0.03930040765464577
2462554.4285714286,2030.1440940013895,0.015724588507309862,0.016435795710997993,0.017170231119136393,-0.07895197685397629,-0.07727130035473401,-0.07556508342770406
2462829.052631579,2030.895989760058,0.012808220410365275,0.013578058213271734,0.014374716618523495,-0.1154117651985734,-0.11356267523226338,-0.11167844991644468
2463103.676691729,2031.6478855187268,0.00986500220022365,0.010695050783518074,0.011556478059419522,-0.1516354038530552,-0.14962972101193864,-0.14758350617813512
2463378.30075188,2032.3997812773966,0.006902695809892675,0.007791442348961143,0.0087193217647854,-0.18755428289481288,-0.18540406712551707,-0.18321459895726416
2463652.92481203,2033.1516770360652,0.003925887568227725,0.0048756398577589205,0.0058599291511033935,-0.2231059506019124,-0.2208377901643453,-0.21852259449136624
2463927.5488721803,2033.903572794734,0.0009427069343304636,0.0019486998177434892,0.0029948332804998947,-0.2582430041213356,-0.25588057511229434,-0.25345679987827735
2464202.172932331,2034.6554685534038,-0.0020425892149949954,-0.0009811359073987856,0.00012261152796288682,-0.2929070643100514,-0.2904807280305425,-0.28797778016282843
2464476.796992481,2035.4073643120723,-0.005028156192970709,-0.003909400477634094,-0.0027460143196022,-0.3270745166184027,-0.32460141826035205,-0.3220450296117747
2464751.4210526315,2036.1592600707409,-0.008003032853243686,-0.006832771387114059,-0.0056136154242016865,-0.3606972650363589,-0.35820448205484323,-0.3556227367913232
2465026.045112782,2036.9111558294107,-0.010968113385761839,-0.009746469467945367,-0.008471676638812431,-0.393752386654093,-0.3912732755624963,-0.3886775669129382
2465300.6691729324,2037.6630515880795,-0.013912584826165949,-0.012645851610562597,-0.01131706773365825,-0.4262153503343659,-0.4237543327381927,-0.42118894043803196
2465575.2932330826,2038.414947346748,-0.01684358621331814,-0.015526194958332488,-0.014147038827676043,-0.4580674506913094,-0.45565616264695175,-0.45312578723697705
2465849.917293233,2039.1668431054168,-0.019748047358613203,-0.01838834194046822,-0.016958494878556038,-0.4892758055848907,-0.48693303244038016,-0.48447667444999026
2466124.5413533836,2039.9187388640867,-0.02263083182525942,-0.02122759671910078,-0.019744390379593076,-0.5198891425252044,-0.5175790342944402,-0.515212536900148
2466399.165413534,2040.6706346227552,-0.025480506143557752,-0.024034098580051753,-0.02250544272810342,-0.5498798091158267,-0.5475998467018646,-0.5453080123138463
2466673.789473684,2041.422530381424,-0.0283040010240761,-0.026815025295078822,-0.02524307981924213,-0.5792227627915679,-0.5769716563603965,-0.5747547245720903
2466948.4135338347,2042.1744261400938,-0.031094978105563022,-0.029570100037553063,-0.027954988368113564,-0.6079309313914443,-0.6056859790573342,-0.6035025500704174
2467223.037593985,2042.9263218987624,-0.03385276088102573,-0.03229096597657657,-0.030636571271744743,-0.6360489518373492,-0.6337379492140139,-0.6315206715720565
2467497.661654135,2043.678217657431,-0.03657045730474247,-0.03497777386079355,-0.033287050334365825,-0.663602060372535,-0.6611630010105811,-0.6587986830042346
2467772.285714286,2044.430113416101,-0.03925597296721299,-0.037627255796891496,-0.035904286078513606,-0.6905717508521712,-0.6879266236289995,-0.6853207509939577
2468046.909774436,2045.1820091747695,-0.041900647868835225,-0.040243425486320775,-0.03848851412864574,-0.7169737040376994,-0.7140534904338561,-0.711084382440431
2468321.5338345864,2045.933904933438,-0.04450585886243372,-0.0428248892981558,-0.04103326656328644,-0.7428160321156339,-0.7395374812323464,-0.7361263731281656
2468596.1578947366,2046.6858006921068,-0.04707375429020902,-0.0453673946262734,-0.043545678925304664,-0.7680926019775015,-0.7643651655969728,-0.760381818883686
2468870.7819548873,2047.4376964507767,-0.04960069867513965,-0.04786933762336623,-0.04602347348518701,-0.7927716304763056,-0.7885406836433877,-0.7839598815083142
2469145.4060150376,2048.1895922094454,-0.05208605415282278,-0.05032915249290425,-0.048461047158367146,-0.8168875126739701,-0.8120590479032788,-0.8068773284774308
2469420.030075188,2048.941487968114,-0.05453324673180555,-0.05275264003089972,-0.050863079653066856,-0.8404653516728684,-0.8349696026706576,-0.8290795542331186
2469694.6541353385,2049.693383726784,-0.05693514528232253,-0.055130528002784854,-0.05322805631441228,-0.8634427852708959,-0.8572194225917176,-0.8505584815013173
2469969.2781954887,2050.4452794854524,-0.05929226151254655,-0.05747320730694174,-0.05554895654207047,-0.8858322617145578,-0.8788611555633445,-0.8714437618973802
