K1 [km/s],K2 [km/s],$\gamma_{AB}$ [km/s],$\pi$ [mas],$MA$ [$M_{\odot}$],$MB$ [$M_{\odot}$],$a$ (AU),$d$ (pc)
3.6475517613514943,3.644172813009211,9.27192655350528,22.658845819921634,1.2271598858274475,1.2282977324869504,52.054459242696836,44.132874549188244
3.843192274679074,3.72024434939727,9.19383734312612,21.94140796744201,1.3335833917481434,1.3776561181087839,53.21631066009572,45.57592664444599
3.838595140209794,3.483659091903456,8.983005591411654,22.690971165057412,1.1494015501210146,1.2665094626217819,49.90687647493611,44.0703922598048
3.708029680579815,3.8863084654368256,9.420528353961672,21.858896749701607,1.3989285245523533,1.3347547000407234,53.02960327060993,45.747963012527194
3.9072925370591953,3.6068373418566404,9.1384508944881,22.071367525668173,1.2690510947882492,1.374765037022846,51.98358272092966,45.30756867860759
3.9506219439564605,3.508973863231635,9.111322446035938,22.22502231924023,1.2263329834059609,1.3806822688554656,52.3328136064574,44.99433051791802
3.5589238291718903,3.9751209987120877,9.440205732716827,22.07971199663782,1.3999502709070126,1.2533747728436058,52.34914995545343,45.2904458243058
4.195601664943841,3.1577964775262357,8.733816965946934,22.451213354367802,1.0967371269759683,1.457178177471023,54.29346164776662,44.54102253700482
4.228039786350011,3.090069782025707,8.580148995648182,22.60857115855323,1.0561052073565014,1.4450336562779824,53.64140487700085,44.23101278656799
3.6481183446407863,3.874244759429849,9.379377443016097,21.93741220037517,1.403233572826206,1.3213316289279753,54.6290741230678,45.58422802407378
3.8139030942872787,3.688685918827428,9.077652152525097,22.28346328914696,1.2620597216504394,1.3049019579059322,50.46317330482288,44.87632766164515
3.655397118858557,3.705999112370813,9.071197860700282,22.308992808606433,1.3183837518114692,1.3003824398756034,55.97106136553389,44.824972986419034
3.648098123578865,3.7675346406076837,9.35154622004071,22.493513206178783,1.2690228474439202,1.2287929137108495,50.53846289997758,44.45726155953745
3.5618832427801723,3.7588846605675097,9.186562986441167,22.548247003618368,1.2913691894830843,1.2236891236689227,53.18710243008739,44.34934564268024
3.6333426548353946,3.7138790463790903,9.334014359680467,22.71357114292286,1.216744263276767,1.1903588610673592,49.288944012117774,44.02654226883129
3.9696321748457684,3.4288839036594627,8.916337397334175,22.437938058581032,1.1715424472820741,1.3562992284355697,51.54303322719482,44.56737501410322
3.876848017646375,3.5218698792644987,9.11335946777239,22.331725973252624,1.2435352906979267,1.368874345699102,55.235638337912285,44.77934223255873
3.7465312379861304,3.6532210538904515,9.246606393329678,22.30098176370715,1.2936033135900193,1.3266443920129416,55.45266609730659,44.84107518653777
3.903494945821223,3.5169430596350435,9.26455252032222,22.089165247736016,1.2841908638526798,1.425337988565249,57.423978477898366,45.27106338264607
3.539737362788693,3.745107688841453,9.622707658138154,22.50690416534355,1.3058457775469536,1.2342371629513078,55.655368639928106,44.430810770493004
3.6022463359471693,3.7488490278200457,9.527046132332371,22.376101850355916,1.3150001169918693,1.2635756516336956,54.88502441784814,44.69053665771073
3.875775315757281,3.7867813066512204,9.291819800074027,21.69842178048868,1.3811563662640403,1.4136152362865329,53.3913086484529,46.086301119798705
3.8567440289499704,3.402691711955156,8.90733896974784,22.738392174027815,1.1390773319241567,1.2910748519990083,51.739446608036204,43.978483278259986
3.716721578485553,3.88000040038325,9.29567314342742,22.006983514295772,1.3565488634039107,1.2994623486083527,51.06681902319677,45.440121284700304
